key,en,de
DETAIL_EMPTY,Nobody here yet.,Hier ist noch niemand.
DETAIL_EMPTY_FRIENDS,None of your friends has played this level.,Keiner deiner Freunde hat dieses Level gespielt.
DETAIL_TAB_GLOBAL,Global,Global
DETAIL_TAB_FRIENDS,Friends,Freunde
DETAIL_TAB_FLAWLESS,Flawless,Fehlerfrei
DETAIL_CLEAN,clean,sauber
DETAIL_WRONG,%d ✕,%d ✕
#,--- league screen ---,
LEAGUE_TITLE,League,Liga
LEAGUE_TAB_STANDINGS,Standings,Tabelle
LEAGUE_TAB_FRIENDS,Friends,Freunde
LEAGUE_YOUR_CODE,Your code,Dein Code
LEAGUE_CODE_PLACEHOLDER,Friend code QN-...,Freundescode QN-...
LEAGUE_ADD,Add,Hinzufügen
LEAGUE_INFO_RULES,%s · %s,%s · %s
LEAGUE_INFO_ENDS,%s ends in %s,%s endet in %s
LEAGUE_COUNT_BEST_N,best %d games count,beste %d Spiele zählen
LEAGUE_COUNT_ALL,every game counts,jedes Spiel zählt
LEAGUE_PERIOD_WEEK,Week,Woche
LEAGUE_PERIOD_DAYS,%d-day round,%d-Tage-Runde
LEAGUE_JOIN_NOTE,Play a game to join this round's league.,Spiel eine Runde und komm in die Liga dieser Runde.
LEAGUE_GLOBAL_NOTE,%s is one global standing of %d players.,%s ist eine globale Tabelle mit %d Spielern.
LEAGUE_TOP_100,Top 100 shown.,Top 100 werden gezeigt.
LEAGUE_SLOTS_OPEN_ONE,%d Challenger slot open this round.,%d Challenger-Platz ist diese Runde frei.
LEAGUE_SLOTS_OPEN_OTHER,%d Challenger slots open this round.,%d Challenger-Plätze sind diese Runde frei.
LEAGUE_NO_FRIENDS,No friends yet. Swap codes to see each other here and land in the same league group.,"Noch keine Freunde. Tauscht Codes aus, dann seht ihr euch hier und landet in derselben Liga-Gruppe."
LEAGUE_GAMES_ONE,%d game,%d Spiel
LEAGUE_GAMES_OTHER,%d games,%d Spiele
LEAGUE_FRIEND_REMOVED,Friend removed,Freund entfernt
#,--- win overlay ---,
WIN_TITLE,Solved!,Gelöst!
WIN_POINTS,points,Punkte
WIN_NEXT,Next game,Nächstes Spiel
WIN_HOME,Home,Startseite
WIN_BADGE_FLAWLESS,Flawless,Fehlerfrei
WIN_BADGE_NEW_BEST,New best,Neuer Bestwert
WIN_BADGE_FASTEST,Fastest yet,Schnellste Zeit
WIN_BADGE_UNDER_PAR,Under par,Unter Par
WIN_STAT_BASE,Base,Basis
WIN_STAT_TIME,Time,Zeit
WIN_STAT_PAR,Par,Par
WIN_STAT_MISTAKES,Mistakes,Fehler
WIN_STAT_HINTS,Hints,Tipps
WIN_STAT_DETAILS,Details,Details
WIN_FACTOR,×%s,×%s
WIN_LEAGUE_LINE,%s league · %d pts · #%d of %d · %s,%s-Liga · %d Pkt. · #%d von %d · %s
WIN_LEAGUE_PROMO_LINE,%s league · %s · #%d of %d,%s-Liga · %s · #%d von %d
WIN_PROMOTED,Promoted to %s league!,Aufstieg in die %s-Liga!
FACTOR_ACCURACY,Accuracy,Präzision
FACTOR_SPEED,Speed,Tempo
FACTOR_HINT,Hints,Tipps
#,--- round summary ---,
SUMMARY_HEADING_ROUND,LAST ROUND,LETZTE RUNDE
SUMMARY_HEADING_PROMOTION,PROMOTION,AUFSTIEG
SUMMARY_PROMOTED,Promoted to %s!,Aufstieg nach %s!
SUMMARY_RELEGATED,Relegated to %s,Abstieg nach %s
SUMMARY_INACTIVE_DOWN,No games played: down to %s,Keine Spiele: runter nach %s
SUMMARY_INACTIVE_STAY,"No games played, still %s","Keine Spiele, weiterhin %s"
SUMMARY_STAYED,You stay in %s,Du bleibst in %s
SUMMARY_RANK,#%d of %d,#%d von %d
SUMMARY_TIER_POINTS,%d tier points,%d Ligapunkte
SUMMARY_POINTS,%d points,%d Punkte
SUMMARY_REACHED,Reached %d points in %s,%d Punkte in %s erreicht
SUMMARY_BEST_GAME,Best game: %d points,Bestes Spiel: %d Punkte
SUMMARY_PLAY_TO_CLIMB,Play this round to climb.,Spiel diese Runde und steig auf.
SUMMARY_CONTINUE,Continue,Weiter
#,--- settings ---,
SETTINGS_TITLE,Settings,Einstellungen
SETTINGS_SOUND_HEADING,SOUND & FEEL,TON & GEFÜHL
SETTINGS_SFX,Sound effects,Soundeffekte
SETTINGS_MUSIC,Music,Musik
SETTINGS_HAPTICS,Vibration,Vibration
SETTINGS_REDUCED_MOTION,Reduce motion,Bewegung reduzieren
SETTINGS_LANGUAGE_HEADING,LANGUAGE,SPRACHE
SETTINGS_PLAY_HEADING,PLAYING,SPIELEN
SETTINGS_MISTAKE_ALERTS,Flash wrong queens,Falsche Damen blinken
SETTINGS_MISTAKE_NOTE,"Off: mistakes only count in the score, the cell stays quiet.","Aus: Fehler zählen nur für die Punkte, das Feld bleibt ruhig."
SETTINGS_REGION_PATTERNS,Region patterns,Bereichsmuster
SETTINGS_PATTERN_NOTE,"Adds a line pattern to each colour, for colour-vision deficiency.","Legt ein Linienmuster über jede Farbe, für Farbsehschwäche."
SETTINGS_HOW_TO_PLAY,How to play,So wird gespielt
SETTINGS_PROFILE_HEADING,PROFILE,PROFIL
SETTINGS_NAME_PLACEHOLDER,Your name,Dein Name
SETTINGS_NAME_SAVE,Save,Speichern
SETTINGS_RESTORE,Restore purchases,Käufe wiederherstellen
SETTINGS_ABOUT_HEADING,ABOUT,ÜBER
SETTINGS_FONTS,Fonts: Fredoka and Nunito (SIL Open Font License).,Schriften: Fredoka und Nunito (SIL Open Font License).
#,--- tutorial ---,
TUT_TITLE,How to play,So wird gespielt
TUT_SKIP,Skip,Überspringen
TUT_NEXT,Next,Weiter
TUT_STEP_1,"One queen in every row, column and colour region. Queens never touch, not even diagonally.","Eine Dame in jeder Zeile, Spalte und Farbregion. Damen berühren sich nie, auch nicht diagonal."
TUT_STEP_2,Tap a cell once to mark it with an X. Try the glowing cell.,Tipp ein Feld einmal an für ein X. Probier das leuchtende Feld.
TUT_STEP_3,Tap it again to place a queen.,"Tipp nochmal drauf, um eine Dame zu setzen."
TUT_STEP_4,"The small X marks show where no other queen can go: its row, column, region and the cells around it.","Die kleinen X zeigen, wo keine andere Dame stehen kann: Zeile, Spalte, Region und die Felder ringsum."
TUT_STEP_5,Try placing a queen right next to it.,Setz mal eine Dame direkt daneben.
TUT_STEP_6,See the shake? Two queens can't touch. Tap it again to remove it.,"Siehst du das Wackeln? Zwei Damen dürfen sich nicht berühren. Tipp nochmal, um sie zu entfernen."
TUT_STEP_7,Drag your finger across cells to mark many at once. Try the bottom row.,"Zieh den Finger über mehrere Felder, um sie auf einmal zu markieren. Probier die unterste Zeile."
TUT_STEP_8,Now finish the board. Every queen must sit on a different colour.,Jetzt mach das Feld fertig. Jede Dame muss auf einer anderen Farbe stehen.
#,--- splash ---,
SPLASH_TAGLINE,a logic puzzle,ein Logikrätsel
#,--- errors from the backend and the store ---,
ERR_NICKNAME_LENGTH,Nickname must be 2 to 16 characters,Der Name muss 2 bis 16 Zeichen haben
ERR_FRIEND_CODE_FORMAT,A friend code looks like QN-ABC234,Ein Freundescode sieht so aus: QN-ABC234
ERR_FRIEND_OWN_CODE,That is your own code,Das ist dein eigener Code
ERR_FRIEND_ALREADY,Already friends,Ihr seid schon Freunde
ERR_FRIEND_UNKNOWN,Not a friend,Kein Freund
ERR_ADS_UNAVAILABLE,Ads are not available,Werbung ist nicht verfügbar
ERR_ADS_PLUGIN_MISSING,AdMob plugin not installed,AdMob-Plugin ist nicht installiert
ERR_AD_NOT_READY,Ad not ready yet,Werbung ist noch nicht bereit
ERR_AD_LOAD,Ad failed to load: %s,Werbung konnte nicht geladen werden: %s
ERR_AD_SHOW,Ad could not be shown: %s,Werbung konnte nicht gezeigt werden: %s
ERR_PURCHASES_UNAVAILABLE,Purchases are not available,Käufe sind nicht verfügbar
ERR_BILLING_PLUGIN_MISSING,Google Play Billing plugin not installed,Google-Play-Billing-Plugin ist nicht installiert
ERR_STORE_CONNECT,Store connection failed (%d): %s,Verbindung zum Store fehlgeschlagen (%d): %s
ERR_STORE,Store error: %s,Store-Fehler: %s
ERR_STORE_NOT_CONNECTED,Store not connected,Keine Verbindung zum Store
ERR_PURCHASE,Purchase failed: %s,Kauf fehlgeschlagen: %s
